File with results:  out,,,,,Filtered,B,0.1,,,,,,,,,,,,,,,,
31.469,0,0,,,31.469,0,,,,,,,,,,,,,,,,,
31.538,0,0,,,31.538,0,,,,,,,,,,,,,,,,,
31.612,0,0,,,31.612,0,,,,,,,,,,,,,,,,,
31.677,0,0,,,31.677,0,,,,,,,,,,,,,,,,,
31.748,0,0,,,31.748,0,,,,,,,,,,,,,,,,,
31.82,0,0,,,31.82,0,,,,,,,,,,,,,,,,,
31.896,0,0,,,31.896,0,,,,,,,,,,,,,,,,,
31.961,0,0,,,31.961,0,,,,,,,,,,,,,,,,,
32.029,0,0,,,32.029,0,,,,,,,,,,,,,,,,,
32.101,0,0,,,32.101,0,,,,,,,,,,,,,,,,,
32.169,0,0,,,32.169,0,,,,,,,,,,,,,,,,,
32.239,0,0,,,32.239,0,,,,,,,,,,,,,,,,,
32.316,0,0,,,32.316,0,,,,,,,,,,,,,,,,,
32.388,0,0,,,32.388,0,,,,,,,,,,,,,,,,,
32.46,0,0,,,32.46,0,,,,,,,,,,,,,,,,,
32.566,0,0,,,32.566,0,,,,,,,,,,,,,,,,,
32.633,0,0,,,32.633,0,,,,,,,,,,,,,,,,,
32.704,0,0,,,32.704,0,,,,,,,,,,,,,,,,,
32.777,0,0,,,32.777,0,,,,,,,,,,,,,,,,,
32.845,0,0,,,32.845,0,,,,,,,,,,,,,,,,,
32.918,0,0,,,32.918,0,,,,,,,,,,,,,,,,,
32.985,0,0,,,32.985,0,,,,,,,,,,,,,,,,,
33.06,0,0,,,33.06,0,,,,,,,,,,,,,,,,,
33.129,0,0,,,33.129,0,,,,,,,,,,,,,,,,,
33.201,0,0,,,33.201,0,,,,,,,,,,,,,,,,,
33.272,0,0,,,33.272,0,,,,,,,,,,,,,,,,,
33.341,0,0,,,33.341,0,,,,,,,,,,,,,,,,,
33.413,0,0,,,33.413,0,,,,,,,,,,,,,,,,,
33.485,0,0,,,33.485,0,,,,,,,,,,,,,,,,,
33.556,0,0,,,33.556,0,,,,,,,,,,,,,,,,,
33.628,0,0,,,33.628,0,,,,,,,,,,,,,,,,,
33.701,0,0,,,33.701,0,,,,,,,,,,,,,,,,,
33.773,0,0,,,33.773,0,,,,,,,,,,,,,,,,,
33.841,0,0,,,33.841,0,,,,,,,,,,,,,,,,,
33.909,0,0,,,33.909,0,,,,,,,,,,,,,,,,,
33.981,0,0,,,33.981,0,,,,,,,,,,,,,,,,,
34.099,0,0,,,34.099,0,,,,,,,,,,,,,,,,,
34.173,0,0,,,34.173,0,,,,,,,,,,,,,,,,,
34.241,0,0,,,34.241,0,,,,,,,,,,,,,,,,,
34.312,0,0,,,34.312,0,,,,,,,,,,,,,,,,,
34.384,0,0,,,34.384,0,,,,,,,,,,,,,,,,,
34.458,0,0,,,34.458,0,,,,,,,,,,,,,,,,,
34.533,0,0,,,34.533,0,,,,,,,,,,,,,,,,,
34.601,0,0,,,34.601,0,,,,,,,,,,,,,,,,,
34.673,0,0,,,34.673,0,,,,,,,,,,,,,,,,,
34.742,0,0,,,34.742,0,,,,,,,,,,,,,,,,,
34.817,0,0,,,34.817,0,,,,,,,,,,,,,,,,,
34.889,0,0,,,34.889,0,,,,,,,,,,,,,,,,,
34.956,0,0,,,34.956,0,,,,,,,,,,,,,,,,,
35.33,0,0,,,35.33,0,,,,,,,,,,,,,,,,,
35.397,0,0,,,35.397,0,,,,,,,,,,,,,,,,,
35.461,0,0,,,35.461,0,,,,,,,,,,,,,,,,,
35.645,0,0,,,35.645,0,,,,,,,,,,,,,,,,,
35.706,0,0,,,35.706,0,,,,,,,,,,,,,,,,,
35.78,0,0,,,35.78,0,,,,,,,,,,,,,,,,,
35.845,0,0,,,35.845,0,,,,,,,,,,,,,,,,,
35.918,0,0,,,35.918,0,,,,,,,,,,,,,,,,,
35.99,0,0,,,35.99,0,,,,,,,,,,,,,,,,,
36.059,0,0,,,36.059,0,,,,,,,,,,,,,,,,,
36.129,0,0,,,36.129,0,,,,,,,,,,,,,,,,,
36.202,0,0,,,36.202,0,,,,,,,,,,,,,,,,,
36.274,0,0,,,36.274,0,,,,,,,,,,,,,,,,,
36.346,0,0,,,36.346,0,,,,,,,,,,,,,,,,,
36.413,0,0,,,36.413,0,,,,,,,,,,,,,,,,,
36.487,0,0,,,36.487,0,,,,,,,,,,,,,,,,,
36.559,0,0,,,36.559,0,,,,,,,,,,,,,,,,,
36.625,0,0,,,36.625,0,,,,,,,,,,,,,,,,,
36.693,0,0,,,36.693,0,,,,,,,,,,,,,,,,,
36.863,0,0,,,36.863,0,,,,,,,,,,,,,,,,,
36.925,0,0,,,36.925,0,,,,,,,,,,,,,,,,,
36.999,0,0,,,36.999,0,,,,,,,,,,,,,,,,,
37.069,0,0,,,37.069,0,,,,,,,,,,,,,,,,,
37.137,0,0,,,37.137,0,,,,,,,,,,,,,,,,,
37.207,0,0,,,37.207,0,,,,,,,,,,,,,,,,,
37.277,0,0,,,37.277,0,,,,,,,,,,,,,,,,,
37.35,0,0,,,37.35,0,,,,,,,,,,,,,,,,,
37.419,0,0,,,37.419,0,,,,,,,,,,,,,,,,,
37.486,0,0,,,37.486,0,,,,,,,,,,,,,,,,,
37.566,0,0,,,37.566,0,,,,,,,,,,,,,,,,,
37.634,0,0,,,37.634,0,,,,,,,,,,,,,,,,,
37.705,0,0,,,37.705,0,,,,,,,,,,,,,,,,,
37.773,0,0,,,37.773,0,,,,,,,,,,,,,,,,,
37.85,0,0,,,37.85,0,,,,,,,,,,,,,,,,,
37.923,0,0,,,37.923,0,,,,,,,,,,,,,,,,,
37.993,0,0,,,37.993,0,,,,,,,,,,,,,,,,,
38.067,0,0,,,38.067,0,,,,,,,,,,,,,,,,,
38.136,0,0,,,38.136,0,,,,,,,,,,,,,,,,,
38.202,0,0,,,38.202,0,,,,,,,,,,,,,,,,,
38.27,0,0,,,38.27,0,,,,,,,,,,,,,,,,,
38.342,0,0,,,38.342,0,,,,,,,,,,,,,,,,,
38.412,0,0,,,38.412,0,,,,,,,,,,,,,,,,,
38.482,0,0,,,38.482,0,,,,,,,,,,,,,,,,,
38.561,0,0,,,38.561,0,,,,,,,,,,,,,,,,,
38.636,0,0,,,38.636,0,,,,,,,,,,,,,,,,,
38.708,0,0,,,38.708,0,,,,,,,,,,,,,,,,,
38.788,0,0,,,38.788,0,,,,,,,,,,,,,,,,,
38.857,0,0,,,38.857,0,,,,,,,,,,,,,,,,,
38.932,0,0,,,38.932,0,,,,,,,,,,,,,,,,,
39.001,0,0,,,39.001,0,,,,,,,,,,,,,,,,,
39.075,0,0,,,39.075,0,,,,,,,,,,,,,,,,,
39.142,0,0,,,39.142,0,,,,,,,,,,,,,,,,,
