3367.975,0,0,-19631.701171875,,,,,
3368.062,0,0,-19631.71484375,,,,,
3368.167,0,0,-19631.73046875,,,,,
3368.265,0,0,-19631.73046875,,,,,
3368.364,0,0,-19631.73046875,,,,,
3368.464,0,0,-19631.73046875,,,,,
3368.535,0,0,-19631.73046875,,,,,
3368.609,0,0,-19631.73046875,,,,,
3368.68,0,0,-19631.73046875,,,,,
3368.752,0,0,-19631.73046875,,,,,
3368.824,0,0,-19631.73046875,,,,,
3368.9,0,0,-19631.73046875,,,,,
3368.972,0,0,-19631.73046875,,,,,
3369.039,0,0,-19631.73046875,,,,,
3369.111,0,0,-19631.73046875,,,,,
3369.183,0,0,-19631.73046875,,,,,
3369.258,0,0,-19631.73046875,,,,,
3369.362,0,0,-19631.73046875,,,,,
3369.438,0,0,-19631.73046875,,,,,
3369.515,0,0,-19631.73046875,,,,,
3369.587,0,0,-19631.73046875,,,,,
3369.761,0,0,-19631.73046875,,,,,
3369.833,0,0,-19631.73046875,,,,,
3369.905,0,0,-19631.73046875,,,,,
3369.976,0,0,-19631.73046875,,,,,
3370.046,0,0,-19631.73046875,,,,,
3370.123,0,0,-19631.73046875,,,,,
3370.196,0,0,-19631.73046875,,,,,
3370.27,0,0,-19631.73046875,,,,,
3370.349,0,0,-19631.73046875,,,,,
3370.423,0,0,-19631.73046875,,,,,
3370.502,0,0,-19631.73046875,,,,,
3370.575,0,0,-19631.73046875,,,,,
3370.647,-73.6311950683594,44.1787223815918,-19631.8515625,,,,,
3370.723,-497.653747558594,226.5625,-19634.755859375,,,,,
3370.795,-937.05615234375,441.399353027344,-19641.126953125,,,,,
3370.864,-980.512329101563,635.273315429688,-19648.2109375,,,,,
3370.949,-927.374633789063,868.224304199219,-19656.46875,,,,,
3371.023,-888.271240234375,917.073852539063,-19662.548828125,,,,,
3371.098,-852.027893066406,877.996765136719,-19667.5234375,,,,,
3371.171,-839.980895996094,849.449462890625,-19671.65625,,,,,
3371.243,-842.761535644531,809.293579101563,-19675.42578125,,,,,
3371.32,-873.631530761719,815.011657714844,-19679.05859375,,,,,
3371.394,-880.815307617188,840.850158691406,-19682.001953125,,,,,
3371.468,-866.013916015625,830.247863769531,-19685.625,,,,,
3371.543,-887.754028320313,854.603820800781,-19689.00390625,,,,,
3371.616,-879.90576171875,849.180114746094,-19692.150390625,,,,,
3371.687,-872.631469726563,844.153076171875,-19694.634765625,,,,,
3371.76,-894.614624023438,853.492919921875,-19697.552734375,,,,,
3371.836,-893.885437011719,869.520385742188,-19700.33984375,,,,,
3371.975,-869.679260253906,807.237976074219,-19705.255859375,,,,,
3372.058,-863.654174804688,794.629272460938,-19708.171875,,,,,
3372.135,-857.618347167969,796.827758789063,-19710.90625,,,,,
3372.224,-819.435791015625,766.494445800781,-19714.30859375,,,,,
3372.293,-836.776611328125,771.723022460938,-19716.6484375,,,,,
3372.371,-917.378723144531,857.442199707031,-19719.826171875,,,,,
3372.442,-883.970703125,844.533020019531,-19722.779296875,,,,,
3372.539,-897.5908203125,848.30224609375,-19727,,,,P,0.1015625
3372.616,-895.1728515625,836.623352050781,-19730.169921875,,,,I,0.001
3372.693,-879.338684082031,812.060791015625,-19733.20703125,,,,D,0.000001
3372.768,-878.678588867188,832.965576171875,-19736.21484375,,,,,
3372.841,-841.771911621094,803.621704101563,-19739.2578125,,,,,
3372.915,-880.370239257813,801.558715820313,-19742.16015625,,,,,
3372.985,-851.962646484375,794.022521972656,-19744.96484375,,,,,
3373.06,-868.65625,800.861328125,-19747.923828125,,,,,
3373.136,-890.203063964844,827.725646972656,-19751.091796875,,,,,
3373.207,-887.76953125,832.386535644531,-19753.75,,,,,
3373.268,-894.646301269531,813.861633300781,-19756.341796875,,,,,
3373.374,-878.911315917969,808.811584472656,-19760.955078125,,,,,
3373.451,-892.650451660156,830.029296875,-19764.015625,,,,,
3373.522,-869.517761230469,800.675598144531,-19766.748046875,,,,,
3373.596,-883.802673339844,793.233642578125,-19769.59765625,,,,,
3373.673,-904.968811035156,806.297729492188,-19773.0390625,,,,,
3373.748,-915.489440917969,798.305114746094,-19776.427734375,,,,,
3373.823,-897.698486328125,791.082214355469,-19779.634765625,,,,,
3373.895,-895.270141601563,812.939575195313,-19782.328125,,,,,
3373.964,-864.718505859375,805.752502441406,-19785.03515625,,,,,
3374.039,-880.192749023438,812.529602050781,-19788.296875,,,,,
3374.112,-908.184814453125,817.954162597656,-19791.734375,,,,,
3374.183,-912.84130859375,829.578308105469,-19794.56640625,,,,,
3374.255,-908.954528808594,833.360778808594,-19798.021484375,,,,,
3374.332,-928.280944824219,843.489990234375,-19801.337890625,,,,,
3374.4,-931.467590332031,838.511047363281,-19804.001953125,,,,,
3374.471,-934.421142578125,862.262634277344,-19806.55078125,,,,,
3374.544,-937.15869140625,855.91064453125,-19809.18359375,,,,,
3374.614,-939.696044921875,836.033325195313,-19811.724609375,,,,,
3374.69,-881.885009765625,820.341979980469,-19814.73046875,,,,,
3374.763,-902.464294433594,817.056091308594,-19817.6484375,,,,,
3374.835,-898.14990234375,807.668395996094,-19820.111328125,,,,,
3374.908,-903.540405273438,833.675903320313,-19823.12109375,,,,,
3374.987,-937.261962890625,857.781127929688,-19826.19921875,,,,,
3375.06,-931.023193359375,831.180908203125,-19829.130859375,,,,,
3375.131,-934.009338378906,841.110595703125,-19831.505859375,,,,,
3375.207,-928.083862304688,830.842102050781,-19834.44921875,,,,,
3375.325,-900.424560546875,804.933166503906,-19839.21875,,,,,
3375.392,-919.647827148438,831.5087890625,-19841.626953125,,,,,
