2448.043;0;0;-35242.28125
2448.11;0;0;-35242.28125
2448.181;0;0;-35242.28125
2448.263;0;0;-35242.28125
2448.333;0;0;-35242.28125
2448.402;0;0;-35242.28125
2448.5;0;0;-35242.28125
2448.623;0;0;-35242.28125
2448.727;0;0;-35242.28125
2448.8;0;0;-35242.28125
2448.876;0;0;-35242.28125
2448.95;0;0;-35242.28125
2449.019;0;0;-35242.28125
2449.089;0;0;-35242.28125
2449.233;0;0;-35242.28125
2449.302;0;0;-35242.28125
2449.426;0;0;-35242.28125
2449.5;0;0;-35242.28125
2449.569;0;0;-35242.2734375
2449.641;0;0;-35242.25
2449.714;0;0;-35242.2265625
2449.785;0;0;-35242.21875
2449.853;0;0;-35242.21875
2449.927;0;0;-35242.21875
2450.004;0;0;-35242.21875
2450.084;0;0;-35242.21875
2450.154;0;0;-35242.21875
2450.229;0;0;-35242.21875
2450.329;0;0;-35242.21875
2450.402;0;0;-35242.21875
2450.472;0;0;-35242.21875
2450.545;0;0;-35242.21875
2450.734;0;0;-35242.21875
2450.814;0;0;-35242.21875
2450.892;0;0;-35242.21875
2450.965;0;0;-35242.21875
2451.037;0;0;-35242.21875
2451.108;0;0;-35242.21875
2451.181;0;0;-35242.21875
2451.248;0;0;-35242.21875
2451.318;0;0;-35242.21875
2451.386;0;0;-35242.21875
2451.456;0;0;-35242.21875
2451.521;0;0;-35242.21875
2451.592;0;0;-35242.21875
2451.667;0;0;-35242.21875
2451.741;0;0;-35242.21875
2451.813;0;0;-35242.21875
2451.884;0;0;-35242.21875
2452.036;0;0;-35242.21875
2452.112;0;0;-35242.21875
2452.185;0;0;-35242.21875
2452.257;0;0;-35242.21875
2452.329;0;0;-35242.21875
2452.406;0;0;-35242.21875
2452.477;0;0;-35242.21875
2452.548;0;0;-35242.21875
2452.621;0;0;-35242.21875
2452.693;0;0;-35242.21875
2452.772;0;0;-35242.21875
2452.841;0;0;-35242.21875
2452.909;0;0;-35242.21875
2452.994;0;0;-35242.21875
2453.065;0;0;-35242.23828125
2453.138;0;0;-35242.26171875
2453.212;0;0;-35242.28125
2453.288;0;0;-35242.28125
2453.359;0;0;-35242.28125
2453.429;0;0;-35242.28125
2453.505;0;0;-35242.28125
2453.577;0;0;-35242.28125
2453.651;0;0;-35242.28125
2453.724;0;0;-35242.28125
2453.797;0;0;-35242.28125
2453.869;-342.12738037109375;156.52151489257812;-35244.15625
2454.051;-1137.7706298828125;659.7244262695312;-35261.30859375
2454.126;-1165.0311279296875;832.4925537109375;-35268.9609375
2454.205;-1079.820068359375;855.957275390625;-35275.69140625
2454.274;-1000.8414306640625;850.0664672851562;-35280.17578125
2454.345;-904.4482421875;809.4921875;-35283.89453125
2454.414;-867.021728515625;822.09423828125;-35287.59375
2454.485;-888.6880493164062;818.6893920898438;-35290.96875
2454.558;-928.8020629882812;824.23876953125;-35294.3515625
2454.629;-917.9514770507812;835.3941040039062;-35297.265625
2454.705;-936.251708984375;860.4597778320312;-35300.546875
2454.774;-947.8247680664062;861.4169921875;-35303.23828125
2454.844;-921.2247314453125;855.1268310546875;-35305.8203125
2454.914;-911.2965087890625;863.6640625;-35308.28515625
2454.986;-887.3682250976562;857.5777587890625;-35310.67578125
2455.06;-935.544677734375;865.5675659179688;-35313.64453125
2455.135;-929.1123657226562;852.2257690429688;-35316.71484375
2455.208;-918.2391357421875;832.617919921875;-35319.1171875
2455.284;-878.046875;802.6064453125;-35321.92578125
2455.35;-898.9067993164062;800.9859008789062;-35324.22265625
2455.425;-911.7973022460938;822.9484252929688;-35327.140625
2455.497;-954.0302734375;854.842041015625;-35329.7421875
2455.57;-955.3336181640625;878.1262817382812;-35332.9765625
2455.65;-922.8902587890625;863.4849853515625;-35335.80859375
2455.722;-898.472900390625;843.0536499023438;-35338.20703125
2455.799;-895.9700317382812;846.9653930664062;-35340.59375
2455.873;-894.4170532226562;821.4067993164062;-35343.12109375
2455.95;-914.8068237304688;803.6849365234375;-35345.734375
2456.021;-946.977294921875;830.3519287109375;-35347.9453125
2456.093;-949.1646728515625;826.7020874023438;-35350.38671875
2456.166;-922.4667358398438;822.9509887695312;-35352.78125
2456.236;-912.4476928710938;833.8414916992188;-35355.08203125
2456.31;-902.7932739257812;830.3045043945312;-35357.79296875
2456.378;-907.8441772460938;854.6563720703125;-35360.0078125
2456.453;-926.5247802734375;848.8699340820312;-35362.46875
2456.521;-944.566162109375;858.5918579101562;-35364.953125
2456.594;-895.6174926757812;831.9227294921875;-35367.8828125
2456.665;-887.1940307617188;842.5252685546875;-35370.1640625
2456.731;-936.83740234375;866.7103881835938;-35372.1171875
2456.806;-939.3983154296875;860.4012451171875;-35375.2890625
2456.957;-883.136474609375;791.79296875;-35381.3515625
2457.038;-911.1949462890625;785.91552734375;-35384.54296875
2457.109;-930.3575439453125;814.2411499023438;-35387.45703125
2457.177;-947.3914794921875;840.1268310546875;-35390.40234375
2457.253;-949.9075317382812;878.845458984375;-35393.37890625
2457.328;-900.7944946289062;835.8583984375;-35396.20703125
2457.402;-892.360595703125;817.4476928710938;-35398.30859375
2457.475;-896.2193603515625;816.9329833984375;-35401.13671875
2457.55;-923.3677978515625;809.361328125;-35404.01171875
2457.622;-941.6400756835938;821.9729614257812;-35407.02734375
2457.689;-938.5890502929688;824.4622802734375;-35409.46875
2457.762;-903.8471069335938;842.7366333007812;-35412.42578125
2457.836;-923.547119140625;852.1800537109375;-35414.875
2457.91;-941.8062133789062;875.3001098632812;-35417.4765625
2457.981;-920.7716674804688;846.6536254882812;-35420.14453125
